configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,shift_left,rejected,shift_cuts_foreground,183.740759,,
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,shift_right,eligible,,183.740759,183.740759,0.000000
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,shift_up,eligible,,183.740759,183.740759,0.000000
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,contraction,eligible,,86.213134,86.152429,-0.060705
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,expansion,eligible,,86.213134,99.830293,13.617159
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,scale_grow,eligible,,86.213134,91.319589,5.106454
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,scale_shrink,eligible,,86.213134,81.721264,-4.491870
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,shift_down,eligible,,86.213134,86.213134,0.000000
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,shift_left,eligible,,86.213134,86.213134,0.000000
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,shift_right,eligible,,86.213134,86.213134,0.000000
random_forest,baseline,15ad4c22-91c5-41a2-aee8-1aa27b1a60e0.png,shift_up,eligible,,86.213134,86.213134,0.000000
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,contraction,rejected,contraction_topology_violation,324.642097,,
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,expansion,rejected,contraction_topology_violation,324.642097,,
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,scale_grow,eligible,,324.642097,326.116255,1.474158
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,scale_shrink,eligible,,324.642097,327.859861,3.217764
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,shift_down,eligible,,324.642097,324.642097,0.000000
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,shift_left,eligible,,324.642097,324.642097,0.000000
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,shift_right,eligible,,324.642097,324.642097,0.000000
random_forest,baseline,1a64c0a2-30d9-42b1-a45d-b9058574a858.png,shift_up,eligible,,324.642097,324.642097,0.000000
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,contraction,eligible,,240.245975,150.976828,-89.269147
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,expansion,eligible,,240.245975,369.979846,129.733871
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,scale_grow,eligible,,240.245975,285.833464,45.587489
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,scale_shrink,eligible,,240.245975,178.132613,-62.113362
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,shift_down,eligible,,240.245975,240.245975,0.000000
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,shift_left,eligible,,240.245975,240.245975,0.000000
