experiment,baseline,target,scope,fold,repetition,permutation_seed,n,reference_mae_kg,result_mae_kg,delta_mae_kg,effect
permutation,dense,perimeter,fold,3,4,1060592319,26,58.930772,63.325308,4.394536,harm
permutation,dense,perimeter,fold,3,5,4082426967,26,58.930772,60.030734,1.099962,harm
permutation,dense,perimeter,fold,3,6,2704033258,26,58.930772,65.160715,6.229943,harm
permutation,dense,perimeter,fold,3,7,540380709,26,58.930772,67.562492,8.631720,harm
permutation,dense,perimeter,fold,3,8,140738137,26,58.930772,69.798877,10.868106,harm
permutation,dense,perimeter,fold,3,9,2480833260,26,58.930772,64.580902,5.650130,harm
permutation,dense,perimeter,fold,4,0,2277388005,26,66.590015,66.812400,0.222385,neutral
permutation,dense,perimeter,fold,4,1,1548788079,26,66.590015,67.319103,0.729089,neutral
permutation,dense,perimeter,fold,4,2,4219593851,26,66.590015,70.413041,3.823026,harm
permutation,dense,perimeter,fold,4,3,3916653875,26,66.590015,67.015680,0.425666,neutral
permutation,dense,perimeter,fold,4,4,2684923859,26,66.590015,68.240816,1.650801,harm
permutation,dense,perimeter,fold,4,5,376639045,26,66.590015,68.384165,1.794150,harm
permutation,dense,perimeter,fold,4,6,392655378,26,66.590015,64.808033,-1.781982,improvement
permutation,dense,perimeter,fold,4,7,2282509898,26,66.590015,68.236141,1.646126,harm
permutation,dense,perimeter,fold,4,8,1453973033,26,66.590015,69.521055,2.931040,harm
permutation,dense,perimeter,fold,4,9,3846019820,26,66.590015,63.291749,-3.298266,improvement
permutation,dense,perimeter,fold,5,0,2189653012,26,51.972007,55.633340,3.661333,harm
permutation,dense,perimeter,fold,5,1,1462378205,26,51.972007,57.362516,5.390509,harm
permutation,dense,perimeter,fold,5,2,658598124,26,51.972007,60.965361,8.993354,harm
permutation,dense,perimeter,fold,5,3,1087084097,26,51.972007,52.869381,0.897374,neutral
permutation,dense,perimeter,fold,5,4,734230583,26,51.972007,58.628020,6.656013,harm
permutation,dense,perimeter,fold,5,5,2619211684,26,51.972007,51.791244,-0.180764,neutral
permutation,dense,perimeter,fold,5,6,540298795,26,51.972007,61.547254,9.575246,harm
permutation,dense,perimeter,fold,5,7,1139252941,26,51.972007,57.769724,5.797717,harm
permutation,dense,perimeter,fold,5,8,3272933946,26,51.972007,59.556854,7.584847,harm
permutation,dense,perimeter,fold,5,9,299772538,26,51.972007,55.785759,3.813751,harm
permutation,dense,perimeter,oof,,0,,132,54.852306,56.430577,1.578271,harm
permutation,dense,perimeter,oof,,1,,132,54.852306,57.507602,2.655297,harm
permutation,dense,perimeter,oof,,2,,132,54.852306,60.081985,5.229680,harm
permutation,dense,perimeter,oof,,3,,132,54.852306,58.070487,3.218181,harm
permutation,dense,perimeter,oof,,4,,132,54.852306,59.678776,4.826470,harm
permutation,dense,perimeter,oof,,5,,132,54.852306,56.619184,1.766878,harm
permutation,dense,perimeter,oof,,6,,132,54.852306,58.311700,3.459395,harm
permutation,dense,perimeter,oof,,7,,132,54.852306,58.693560,3.841254,harm
permutation,dense,perimeter,oof,,8,,132,54.852306,59.940722,5.088416,harm
permutation,dense,perimeter,oof,,9,,132,54.852306,56.162671,1.310365,harm
permutation,dense,roundness,fold,1,0,1539491255,27,53.941613,53.475751,-0.465862,neutral
permutation,dense,roundness,fold,1,1,959217444,27,53.941613,53.584777,-0.356836,neutral
permutation,dense,roundness,fold,1,2,3955744546,27,53.941613,55.332731,1.391118,harm
permutation,dense,roundness,fold,1,3,1049498219,27,53.941613,54.789126,0.847513,neutral
permutation,dense,roundness,fold,1,4,3661670872,27,53.941613,54.969950,1.028337,harm
permutation,dense,roundness,fold,1,5,1839960214,27,53.941613,56.717154,2.775541,harm
permutation,dense,roundness,fold,1,6,3650053108,27,53.941613,53.912790,-0.028823,neutral
permutation,dense,roundness,fold,1,7,2559958915,27,53.941613,54.677336,0.735724,neutral
permutation,dense,roundness,fold,1,8,537941592,27,53.941613,53.917846,-0.023767,neutral
permutation,dense,roundness,fold,1,9,1538657836,27,53.941613,50.739648,-3.201965,improvement
permutation,dense,roundness,fold,2,0,2930289840,27,43.306228,47.804281,4.498053,harm
permutation,dense,roundness,fold,2,1,4001019900,27,43.306228,44.260275,0.954047,neutral
permutation,dense,roundness,fold,2,2,578336854,27,43.306228,43.085563,-0.220665,neutral
permutation,dense,roundness,fold,2,3,3772813284,27,43.306228,45.590162,2.283934,harm
permutation,dense,roundness,fold,2,4,3030665123,27,43.306228,49.316698,6.010470,harm
permutation,dense,roundness,fold,2,5,764773168,27,43.306228,43.677800,0.371572,neutral
permutation,dense,roundness,fold,2,6,1016854723,27,43.306228,43.762763,0.456535,neutral
permutation,dense,roundness,fold,2,7,611893449,27,43.306228,47.206529,3.900301,harm
permutation,dense,roundness,fold,2,8,2639459229,27,43.306228,45.903958,2.597730,harm
permutation,dense,roundness,fold,2,9,1882429121,27,43.306228,46.427737,3.121509,harm
permutation,dense,roundness,fold,3,0,3690701478,26,58.930772,57.535081,-1.395691,improvement
permutation,dense,roundness,fold,3,1,283051529,26,58.930772,57.767029,-1.163742,improvement
permutation,dense,roundness,fold,3,2,3181063600,26,58.930772,56.796036,-2.134735,improvement
permutation,dense,roundness,fold,3,3,2626013063,26,58.930772,59.058633,0.127861,neutral
permutation,dense,roundness,fold,3,4,3483318407,26,58.930772,59.576454,0.645682,neutral
permutation,dense,roundness,fold,3,5,2770224786,26,58.930772,56.689563,-2.241209,improvement
permutation,dense,roundness,fold,3,6,621057027,26,58.930772,55.722075,-3.208696,improvement
permutation,dense,roundness,fold,3,7,122421412,26,58.930772,59.542908,0.612137,neutral
permutation,dense,roundness,fold,3,8,688896882,26,58.930772,56.064681,-2.866091,improvement
permutation,dense,roundness,fold,3,9,1175651847,26,58.930772,58.651378,-0.279393,neutral
permutation,dense,roundness,fold,4,0,2685445344,26,66.590015,67.327012,0.736997,neutral
permutation,dense,roundness,fold,4,1,1193724274,26,66.590015,67.496186,0.906172,neutral
permutation,dense,roundness,fold,4,2,4193672252,26,66.590015,70.143960,3.553946,harm
permutation,dense,roundness,fold,4,3,4264291399,26,66.590015,68.045806,1.455791,harm
permutation,dense,roundness,fold,4,4,3604200763,26,66.590015,62.706984,-3.883031,improvement
permutation,dense,roundness,fold,4,5,95989177,26,66.590015,64.446365,-2.143650,improvement
permutation,dense,roundness,fold,4,6,1018287822,26,66.590015,70.127378,3.537364,harm
permutation,dense,roundness,fold,4,7,2735567048,26,66.590015,68.594442,2.004427,harm
permutation,dense,roundness,fold,4,8,2616946144,26,66.590015,64.378270,-2.211745,improvement
permutation,dense,roundness,fold,4,9,1680101450,26,66.590015,65.500332,-1.089682,improvement
permutation,dense,roundness,fold,5,0,2235932071,26,51.972007,54.119168,2.147161,harm
permutation,dense,roundness,fold,5,1,1357530297,26,51.972007,55.025465,3.053457,harm
permutation,dense,roundness,fold,5,2,584849085,26,51.972007,50.154308,-1.817700,improvement
permutation,dense,roundness,fold,5,3,2106445213,26,51.972007,50.922058,-1.049950,improvement
permutation,dense,roundness,fold,5,4,914885460,26,51.972007,56.608965,4.636958,harm
permutation,dense,roundness,fold,5,5,859096231,26,51.972007,52.788674,0.816667,neutral
permutation,dense,roundness,fold,5,6,845509913,26,51.972007,54.416089,2.444082,harm
permutation,dense,roundness,fold,5,7,2567884808,26,51.972007,61.328644,9.356637,harm
permutation,dense,roundness,fold,5,8,3322052576,26,51.972007,50.712591,-1.259417,improvement
permutation,dense,roundness,fold,5,9,2949744194,26,51.972007,58.942415,6.970408,harm
permutation,dense,roundness,oof,,0,,132,54.852306,55.970255,1.117949,harm
permutation,dense,roundness,oof,,1,,132,54.852306,55.525167,0.672862,neutral
permutation,dense,roundness,oof,,2,,132,54.852306,55.013226,0.160921,neutral
permutation,dense,roundness,oof,,3,,132,54.852306,55.597952,0.745646,neutral
permutation,dense,roundness,oof,,4,,132,54.852306,56.567742,1.715437,harm
permutation,dense,roundness,oof,,5,,132,54.852306,54.793208,-0.059098,neutral
permutation,dense,roundness,oof,,6,,132,54.852306,55.485940,0.633634,neutral
permutation,dense,roundness,oof,,7,,132,54.852306,58.158941,3.306635,harm
permutation,dense,roundness,oof,,8,,132,54.852306,54.130551,-0.721754,neutral
permutation,dense,roundness,oof,,9,,132,54.852306,55.939141,1.086836,harm
permutation,dense,solidity,fold,1,0,2320907518,27,53.941613,60.525072,6.583459,harm
permutation,dense,solidity,fold,1,1,4177457186,27,53.941613,59.517465,5.575852,harm
permutation,dense,solidity,fold,1,2,2293427380,27,53.941613,59.971847,6.030234,harm
permutation,dense,solidity,fold,1,3,45215085,27,53.941613,59.576492,5.634879,harm
permutation,dense,solidity,fold,1,4,3080014103,27,53.941613,58.667244,4.725631,harm
permutation,dense,solidity,fold,1,5,1518179484,27,53.941613,55.763375,1.821762,harm
permutation,dense,solidity,fold,1,6,1548377384,27,53.941613,57.772632,3.831019,harm
permutation,dense,solidity,fold,1,7,1153131477,27,53.941613,60.156620,6.215007,harm
permutation,dense,solidity,fold,1,8,410056678,27,53.941613,58.906690,4.965077,harm
permutation,dense,solidity,fold,1,9,3576641096,27,53.941613,58.852916,4.911303,harm
permutation,dense,solidity,fold,2,0,4203436569,27,43.306228,58.375395,15.069167,harm
permutation,dense,solidity,fold,2,1,665392313,27,43.306228,56.297194,12.990966,harm
permutation,dense,solidity,fold,2,2,3085038964,27,43.306228,60.582970,17.276742,harm
permutation,dense,solidity,fold,2,3,3521994719,27,43.306228,61.132167,17.825939,harm
permutation,dense,solidity,fold,2,4,1901530574,27,43.306228,52.457548,9.151320,harm
permutation,dense,solidity,fold,2,5,2590155963,27,43.306228,63.695080,20.388852,harm
permutation,dense,solidity,fold,2,6,3830966436,27,43.306228,56.585758,13.279530,harm
permutation,dense,solidity,fold,2,7,2366419800,27,43.306228,58.086271,14.780043,harm
permutation,dense,solidity,fold,2,8,749040411,27,43.306228,61.084064,17.777836,harm
permutation,dense,solidity,fold,2,9,2915868431,27,43.306228,59.368026,16.061798,harm
permutation,dense,solidity,fold,3,0,1369785623,26,58.930772,62.196939,3.266167,harm
permutation,dense,solidity,fold,3,1,216779788,26,58.930772,61.370134,2.439363,harm
permutation,dense,solidity,fold,3,2,3068892205,26,58.930772,66.679654,7.748882,harm
permutation,dense,solidity,fold,3,3,2956094987,26,58.930772,64.658775,5.728004,harm
permutation,dense,solidity,fold,3,4,296923292,26,58.930772,65.001837,6.071065,harm
permutation,dense,solidity,fold,3,5,3944895763,26,58.930772,65.024116,6.093344,harm
permutation,dense,solidity,fold,3,6,4121084218,26,58.930772,65.444894,6.514122,harm
permutation,dense,solidity,fold,3,7,3329065995,26,58.930772,59.654642,0.723871,neutral
permutation,dense,solidity,fold,3,8,1790319921,26,58.930772,62.694744,3.763972,harm
permutation,dense,solidity,fold,3,9,2854665702,26,58.930772,64.980848,6.050077,harm
permutation,dense,solidity,fold,4,0,4061700441,26,66.590015,70.821154,4.231139,harm
permutation,dense,solidity,fold,4,1,2357853135,26,66.590015,69.899199,3.309184,harm
permutation,dense,solidity,fold,4,2,30927356,26,66.590015,72.146541,5.556526,harm
permutation,dense,solidity,fold,4,3,1255786559,26,66.590015,61.413543,-5.176471,improvement
permutation,dense,solidity,fold,4,4,711749522,26,66.590015,65.137436,-1.452579,improvement
permutation,dense,solidity,fold,4,5,2238725563,26,66.590015,75.115598,8.525583,harm
permutation,dense,solidity,fold,4,6,164573744,26,66.590015,73.951494,7.361479,harm
permutation,dense,solidity,fold,4,7,4194595161,26,66.590015,72.002961,5.412947,harm
permutation,dense,solidity,fold,4,8,2068233293,26,66.590015,68.323628,1.733614,harm
permutation,dense,solidity,fold,4,9,1052363121,26,66.590015,70.815802,4.225788,harm
permutation,dense,solidity,fold,5,0,3865440489,26,51.972007,66.188800,14.216792,harm
permutation,dense,solidity,fold,5,1,1555108959,26,51.972007,63.764162,11.792155,harm
permutation,dense,solidity,fold,5,2,3694352044,26,51.972007,57.423627,5.451620,harm
permutation,dense,solidity,fold,5,3,1462370265,26,51.972007,59.589827,7.617819,harm
permutation,dense,solidity,fold,5,4,217513384,26,51.972007,55.912450,3.940443,harm
permutation,dense,solidity,fold,5,5,885910284,26,51.972007,63.633678,11.661671,harm
permutation,dense,solidity,fold,5,6,1884973174,26,51.972007,57.759770,5.787762,harm
permutation,dense,solidity,fold,5,7,2119591696,26,51.972007,55.150241,3.178234,harm
permutation,dense,solidity,fold,5,8,3818681648,26,51.972007,59.707773,7.735766,harm
permutation,dense,solidity,fold,5,9,1488956311,26,51.972007,57.296516,5.324509,harm
permutation,dense,solidity,oof,,0,,132,54.852306,63.558271,8.705966,harm
permutation,dense,solidity,oof,,1,,132,54.852306,62.105050,7.252745,harm
permutation,dense,solidity,oof,,2,,132,54.852306,63.314208,8.461902,harm
permutation,dense,solidity,oof,,3,,132,54.852306,61.260224,6.407918,harm
permutation,dense,solidity,oof,,4,,132,54.852306,59.376623,4.524317,harm
permutation,dense,solidity,oof,,5,,132,54.852306,64.571867,9.719562,harm
permutation,dense,solidity,oof,,6,,132,54.852306,62.225277,7.372972,harm
permutation,dense,solidity,oof,,7,,132,54.852306,60.981530,6.129225,harm
permutation,dense,solidity,oof,,8,,132,54.852306,62.110835,7.258529,harm
permutation,dense,solidity,oof,,9,,132,54.852306,62.215059,7.362753,harm
permutation,random_forest,area,fold,1,0,3709114571,27,50.674813,52.687343,2.012530,harm
permutation,random_forest,area,fold,1,1,3664061067,27,50.674813,55.946803,5.271990,harm
permutation,random_forest,area,fold,1,2,3471631869,27,50.674813,48.421735,-2.253078,improvement
permutation,random_forest,area,fold,1,3,3038083872,27,50.674813,52.495958,1.821145,harm
permutation,random_forest,area,fold,1,4,1772655521,27,50.674813,52.194696,1.519884,harm
permutation,random_forest,area,fold,1,5,497858331,27,50.674813,55.030880,4.356067,harm
permutation,random_forest,area,fold,1,6,4042367103,27,50.674813,54.315992,3.641179,harm
permutation,random_forest,area,fold,1,7,3272083355,27,50.674813,56.016996,5.342184,harm
permutation,random_forest,area,fold,1,8,3843402745,27,50.674813,53.231463,2.556650,harm
permutation,random_forest,area,fold,1,9,403767578,27,50.674813,57.071182,6.396369,harm
permutation,random_forest,area,fold,2,0,33554411,27,31.781472,36.342501,4.561029,harm
permutation,random_forest,area,fold,2,1,1157642961,27,31.781472,34.740785,2.959313,harm
permutation,random_forest,area,fold,2,2,2094330553,27,31.781472,38.220232,6.438760,harm
permutation,random_forest,area,fold,2,3,2430976221,27,31.781472,35.363588,3.582116,harm
permutation,random_forest,area,fold,2,4,3824532029,27,31.781472,35.438296,3.656824,harm
permutation,random_forest,area,fold,2,5,3073639948,27,31.781472,38.335652,6.554180,harm
permutation,random_forest,area,fold,2,6,4062654194,27,31.781472,37.843880,6.062408,harm
permutation,random_forest,area,fold,2,7,1976601244,27,31.781472,37.262103,5.480631,harm
permutation,random_forest,area,fold,2,8,1083509816,27,31.781472,38.715216,6.933744,harm
permutation,random_forest,area,fold,2,9,3946949918,27,31.781472,33.849635,2.068163,harm
permutation,random_forest,area,fold,3,0,3898157998,26,47.893012,55.443559,7.550547,harm
permutation,random_forest,area,fold,3,1,414350386,26,47.893012,53.419096,5.526084,harm
permutation,random_forest,area,fold,3,2,1631603134,26,47.893012,55.438453,7.545441,harm
permutation,random_forest,area,fold,3,3,3553061442,26,47.893012,50.575462,2.682450,harm
permutation,random_forest,area,fold,3,4,4263269095,26,47.893012,49.571389,1.678377,harm
permutation,random_forest,area,fold,3,5,543194488,26,47.893012,54.898736,7.005723,harm
permutation,random_forest,area,fold,3,6,1591557838,26,47.893012,51.291609,3.398597,harm
permutation,random_forest,area,fold,3,7,1986778973,26,47.893012,52.120216,4.227204,harm
permutation,random_forest,area,fold,3,8,699646783,26,47.893012,54.024929,6.131916,harm
permutation,random_forest,area,fold,3,9,2337736368,26,47.893012,53.181440,5.288428,harm
permutation,random_forest,area,fold,4,0,2226079241,26,67.093543,69.973972,2.880429,harm
permutation,random_forest,area,fold,4,1,3337703701,26,67.093543,77.240883,10.147340,harm
permutation,random_forest,area,fold,4,2,924772163,26,67.093543,71.223404,4.129861,harm
permutation,random_forest,area,fold,4,3,1220015727,26,67.093543,71.989449,4.895906,harm
permutation,random_forest,area,fold,4,4,1230091001,26,67.093543,70.928486,3.834942,harm
permutation,random_forest,area,fold,4,5,2865622056,26,67.093543,67.302897,0.209354,neutral
permutation,random_forest,area,fold,4,6,1475451766,26,67.093543,65.215730,-1.877813,improvement
permutation,random_forest,area,fold,4,7,2457060519,26,67.093543,73.384202,6.290659,harm
permutation,random_forest,area,fold,4,8,2783681110,26,67.093543,68.473757,1.380214,harm
permutation,random_forest,area,fold,4,9,2455921730,26,67.093543,70.530666,3.437123,harm
permutation,random_forest,area,fold,5,0,1899153945,26,67.367468,68.979734,1.612266,harm
permutation,random_forest,area,fold,5,1,622685661,26,67.367468,67.513086,0.145618,neutral
permutation,random_forest,area,fold,5,2,1128972834,26,67.367468,68.504423,1.136955,harm
permutation,random_forest,area,fold,5,3,163679032,26,67.367468,69.351881,1.984413,harm
permutation,random_forest,area,fold,5,4,1738370783,26,67.367468,69.569705,2.202237,harm
permutation,random_forest,area,fold,5,5,3245611645,26,67.367468,67.805293,0.437825,neutral
permutation,random_forest,area,fold,5,6,1545069866,26,67.367468,66.689487,-0.677981,neutral
permutation,random_forest,area,fold,5,7,3070675393,26,67.367468,68.603032,1.235564,harm
permutation,random_forest,area,fold,5,8,2276850200,26,67.367468,67.081166,-0.286302,neutral
permutation,random_forest,area,fold,5,9,4062096572,26,67.367468,69.218340,1.850872,harm
permutation,random_forest,area,oof,,0,,132,52.784275,56.501020,3.716745,harm
permutation,random_forest,area,oof,,1,,132,52.784275,57.583823,4.799548,harm
permutation,random_forest,area,oof,,2,,132,52.784275,56.164063,3.379788,harm
permutation,random_forest,area,oof,,3,,132,52.784275,55.773063,2.988788,harm
permutation,random_forest,area,oof,,4,,132,52.784275,55.362878,2.578603,harm
permutation,random_forest,area,oof,,5,,132,52.784275,56.523306,3.739031,harm
permutation,random_forest,area,oof,,6,,132,52.784275,54.935106,2.150831,harm
permutation,random_forest,area,oof,,7,,132,52.784275,57.313101,4.528826,harm
permutation,random_forest,area,oof,,8,,132,52.784275,56.148761,3.364486,harm
permutation,random_forest,area,oof,,9,,132,52.784275,56.598891,3.814616,harm
permutation,random_forest,area_major_axis_product,fold,1,0,3264189896,27,50.674813,52.228134,1.553321,harm
permutation,random_forest,area_major_axis_product,fold,1,1,4182987321,27,50.674813,51.941737,1.266924,harm
permutation,random_forest,area_major_axis_product,fold,1,2,1910975556,27,50.674813,52.276115,1.601302,harm
permutation,random_forest,area_major_axis_product,fold,1,3,2178475803,27,50.674813,51.914770,1.239957,harm
permutation,random_forest,area_major_axis_product,fold,1,4,1652586735,27,50.674813,51.085248,0.410436,neutral
permutation,random_forest,area_major_axis_product,fold,1,5,1937788631,27,50.674813,51.760399,1.085587,harm
permutation,random_forest,area_major_axis_product,fold,1,6,3192822995,27,50.674813,52.960186,2.285374,harm
permutation,random_forest,area_major_axis_product,fold,1,7,3744168948,27,50.674813,52.870456,2.195643,harm
permutation,random_forest,area_major_axis_product,fold,1,8,3588158849,27,50.674813,52.250795,1.575982,harm
permutation,random_forest,area_major_axis_product,fold,1,9,89364455,27,50.674813,56.757625,6.082813,harm
permutation,random_forest,area_major_axis_product,fold,2,0,3233275207,27,31.781472,32.556825,0.775353,neutral
permutation,random_forest,area_major_axis_product,fold,2,1,878885560,27,31.781472,36.830828,5.049356,harm
permutation,random_forest,area_major_axis_product,fold,2,2,762937026,27,31.781472,36.630576,4.849104,harm
permutation,random_forest,area_major_axis_product,fold,2,3,2435824799,27,31.781472,35.331424,3.549952,harm
permutation,random_forest,area_major_axis_product,fold,2,4,1664718069,27,31.781472,32.517328,0.735856,neutral
permutation,random_forest,area_major_axis_product,fold,2,5,408908833,27,31.781472,35.495304,3.713832,harm
permutation,random_forest,area_major_axis_product,fold,2,6,1725322830,27,31.781472,35.680072,3.898600,harm
permutation,random_forest,area_major_axis_product,fold,2,7,3425372424,27,31.781472,34.151680,2.370208,harm
permutation,random_forest,area_major_axis_product,fold,2,8,2960703242,27,31.781472,33.645838,1.864366,harm
permutation,random_forest,area_major_axis_product,fold,2,9,2758577893,27,31.781472,35.934358,4.152886,harm
permutation,random_forest,area_major_axis_product,fold,3,0,2131559429,26,47.893012,51.567137,3.674124,harm
permutation,random_forest,area_major_axis_product,fold,3,1,1682122232,26,47.893012,54.337734,6.444722,harm
permutation,random_forest,area_major_axis_product,fold,3,2,1676871248,26,47.893012,55.605905,7.712892,harm
permutation,random_forest,area_major_axis_product,fold,3,3,2985798672,26,47.893012,49.060400,1.167388,harm
permutation,random_forest,area_major_axis_product,fold,3,4,2823003821,26,47.893012,54.491592,6.598580,harm
permutation,random_forest,area_major_axis_product,fold,3,5,1375403626,26,47.893012,57.240994,9.347981,harm
permutation,random_forest,area_major_axis_product,fold,3,6,1921820980,26,47.893012,56.649227,8.756215,harm
permutation,random_forest,area_major_axis_product,fold,3,7,1802785945,26,47.893012,55.757149,7.864136,harm
permutation,random_forest,area_major_axis_product,fold,3,8,3362905852,26,47.893012,49.293807,1.400794,harm
permutation,random_forest,area_major_axis_product,fold,3,9,2097257444,26,47.893012,53.611422,5.718410,harm
permutation,random_forest,area_major_axis_product,fold,4,0,402562591,26,67.093543,70.456114,3.362571,harm
permutation,random_forest,area_major_axis_product,fold,4,1,2439496451,26,67.093543,69.390950,2.297407,harm
permutation,random_forest,area_major_axis_product,fold,4,2,579851601,26,67.093543,68.856993,1.763450,harm
permutation,random_forest,area_major_axis_product,fold,4,3,1107413388,26,67.093543,70.584908,3.491365,harm
permutation,random_forest,area_major_axis_product,fold,4,4,156675194,26,67.093543,73.700122,6.606579,harm
permutation,random_forest,area_major_axis_product,fold,4,5,457222490,26,67.093543,69.398485,2.304942,harm
permutation,random_forest,area_major_axis_product,fold,4,6,2694786638,26,67.093543,71.870204,4.776661,harm
permutation,random_forest,area_major_axis_product,fold,4,7,3350997187,26,67.093543,72.712452,5.618909,harm
permutation,random_forest,area_major_axis_product,fold,4,8,3241208858,26,67.093543,72.180451,5.086908,harm
permutation,random_forest,area_major_axis_product,fold,4,9,145315213,26,67.093543,68.822992,1.729449,harm
permutation,random_forest,area_major_axis_product,fold,5,0,2332631797,26,67.367468,68.490033,1.122565,harm
permutation,random_forest,area_major_axis_product,fold,5,1,2005316114,26,67.367468,70.786386,3.418918,harm
permutation,random_forest,area_major_axis_product,fold,5,2,694910954,26,67.367468,68.212330,0.844861,neutral
permutation,random_forest,area_major_axis_product,fold,5,3,3927306647,26,67.367468,68.781827,1.414359,harm
permutation,random_forest,area_major_axis_product,fold,5,4,3521557193,26,67.367468,69.659531,2.292063,harm
permutation,random_forest,area_major_axis_product,fold,5,5,2892685617,26,67.367468,68.844988,1.477519,harm
permutation,random_forest,area_major_axis_product,fold,5,6,4268232414,26,67.367468,68.522130,1.154662,harm
permutation,random_forest,area_major_axis_product,fold,5,7,1613134985,26,67.367468,67.090554,-0.276914,neutral
permutation,random_forest,area_major_axis_product,fold,5,8,2907127582,26,67.367468,68.397324,1.029856,harm
permutation,random_forest,area_major_axis_product,fold,5,9,3456494374,26,67.367468,68.722995,1.355527,harm
permutation,random_forest,area_major_axis_product,oof,,0,,132,52.784275,54.867722,2.083447,harm
permutation,random_forest,area_major_axis_product,oof,,1,,132,52.784275,56.471599,3.687324,harm
permutation,random_forest,area_major_axis_product,oof,,2,,132,52.784275,56.136641,3.352366,harm
permutation,random_forest,area_major_axis_product,oof,,3,,132,52.784275,54.960248,2.175973,harm
permutation,random_forest,area_major_axis_product,oof,,4,,132,52.784275,56.071227,3.286952,harm
permutation,random_forest,area_major_axis_product,oof,,5,,132,52.784275,56.352274,3.567999,harm
permutation,random_forest,area_major_axis_product,oof,,6,,132,52.784275,56.942179,4.157904,harm
permutation,random_forest,area_major_axis_product,oof,,7,,132,52.784275,56.319407,3.535132,harm
permutation,random_forest,area_major_axis_product,oof,,8,,132,52.784275,54.968714,2.184439,harm
permutation,random_forest,area_major_axis_product,oof,,9,,132,52.784275,56.611941,3.827666,harm
permutation,random_forest,area_power_1_5,fold,1,0,1037705170,27,50.674813,54.720708,4.045895,harm
permutation,random_forest,area_power_1_5,fold,1,1,1670068679,27,50.674813,57.610064,6.935251,harm
permutation,random_forest,area_power_1_5,fold,1,2,1608368590,27,50.674813,57.263513,6.588700,harm
permutation,random_forest,area_power_1_5,fold,1,3,1480552461,27,50.674813,54.594107,3.919294,harm
permutation,random_forest,area_power_1_5,fold,1,4,2385311889,27,50.674813,55.508380,4.833567,harm
permutation,random_forest,area_power_1_5,fold,1,5,2952735277,27,50.674813,55.037999,4.363186,harm
permutation,random_forest,area_power_1_5,fold,1,6,1133924555,27,50.674813,54.331235,3.656422,harm
permutation,random_forest,area_power_1_5,fold,1,7,2677074029,27,50.674813,53.471004,2.796191,harm
permutation,random_forest,area_power_1_5,fold,1,8,2689450893,27,50.674813,52.353040,1.678228,harm
permutation,random_forest,area_power_1_5,fold,1,9,2712796784,27,50.674813,55.137353,4.462541,harm
permutation,random_forest,area_power_1_5,fold,2,0,1046740733,27,31.781472,33.016456,1.234984,harm
permutation,random_forest,area_power_1_5,fold,2,1,2989972570,27,31.781472,37.962886,6.181414,harm
permutation,random_forest,area_power_1_5,fold,2,2,1197200441,27,31.781472,38.074802,6.293330,harm
permutation,random_forest,area_power_1_5,fold,2,3,3691232154,27,31.781472,37.486640,5.705168,harm
permutation,random_forest,area_power_1_5,fold,2,4,1681518598,27,31.781472,35.874179,4.092707,harm
permutation,random_forest,area_power_1_5,fold,2,5,769021986,27,31.781472,33.265340,1.483868,harm
permutation,random_forest,area_power_1_5,fold,2,6,604087048,27,31.781472,33.363974,1.582502,harm
permutation,random_forest,area_power_1_5,fold,2,7,636756632,27,31.781472,35.493631,3.712159,harm
permutation,random_forest,area_power_1_5,fold,2,8,451159973,27,31.781472,39.017920,7.236448,harm
permutation,random_forest,area_power_1_5,fold,2,9,43341613,27,31.781472,33.388092,1.606620,harm
permutation,random_forest,area_power_1_5,fold,3,0,2285744507,26,47.893012,54.741537,6.848525,harm
permutation,random_forest,area_power_1_5,fold,3,1,3521526389,26,47.893012,53.916026,6.023013,harm
permutation,random_forest,area_power_1_5,fold,3,2,3070112140,26,47.893012,53.916809,6.023796,harm
permutation,random_forest,area_power_1_5,fold,3,3,3754208029,26,47.893012,55.997925,8.104913,harm
permutation,random_forest,area_power_1_5,fold,3,4,116151144,26,47.893012,54.953077,7.060065,harm
permutation,random_forest,area_power_1_5,fold,3,5,3920729914,26,47.893012,52.295352,4.402340,harm
permutation,random_forest,area_power_1_5,fold,3,6,4280741686,26,47.893012,59.270235,11.377223,harm
permutation,random_forest,area_power_1_5,fold,3,7,3204493216,26,47.893012,54.782533,6.889521,harm
permutation,random_forest,area_power_1_5,fold,3,8,4102151898,26,47.893012,49.275502,1.382489,harm
permutation,random_forest,area_power_1_5,fold,3,9,1733047474,26,47.893012,54.234763,6.341751,harm
permutation,random_forest,area_power_1_5,fold,4,0,1827773374,26,67.093543,65.566448,-1.527095,improvement
permutation,random_forest,area_power_1_5,fold,4,1,4252792465,26,67.093543,73.382281,6.288738,harm
permutation,random_forest,area_power_1_5,fold,4,2,127980848,26,67.093543,75.002798,7.909255,harm
permutation,random_forest,area_power_1_5,fold,4,3,3736095477,26,67.093543,72.219181,5.125638,harm
permutation,random_forest,area_power_1_5,fold,4,4,3216885491,26,67.093543,71.161522,4.067979,harm
permutation,random_forest,area_power_1_5,fold,4,5,1997373056,26,67.093543,72.622243,5.528700,harm
permutation,random_forest,area_power_1_5,fold,4,6,3307660355,26,67.093543,77.165152,10.071609,harm
